res_no,url_record
1,https://digitallibrary.un.org/record/280453?ln=en
2,https://digitallibrary.un.org/record/280454?ln=en
3,https://digitallibrary.un.org/record/280455?ln=en
4,https://digitallibrary.un.org/record/280456?ln=en
5,https://digitallibrary.un.org/record/280457?ln=en
6,https://digitallibrary.un.org/record/280458?ln=en
7,https://digitallibrary.un.org/record/280459?ln=en
8,https://digitallibrary.un.org/record/280460?ln=en
9,https://digitallibrary.un.org/record/280461?ln=en
10,https://digitallibrary.un.org/record/280462?ln=en
11,https://digitallibrary.un.org/record/280463?ln=en
12,https://digitallibrary.un.org/record/280464?ln=en
13,https://digitallibrary.un.org/record/280465?ln=en
14,https://digitallibrary.un.org/record/280466?ln=en
15,https://digitallibrary.un.org/record/280467?ln=en
16,https://digitallibrary.un.org/record/280468?ln=en
17,https://digitallibrary.un.org/record/280469?ln=en
18,https://digitallibrary.un.org/record/280470?ln=en
19,https://digitallibrary.un.org/record/280471?ln=en
20,https://digitallibrary.un.org/record/280472?ln=en
21,https://digitallibrary.un.org/record/280473?ln=en
22,https://digitallibrary.un.org/record/280474?ln=en
23,https://digitallibrary.un.org/record/280475?ln=en
24,https://digitallibrary.un.org/record/280476?ln=en
25,https://digitallibrary.un.org/record/280477?ln=en
26,https://digitallibrary.un.org/record/280478?ln=en
27,https://digitallibrary.un.org/record/280479?ln=en
28,https://digitallibrary.un.org/record/280480?ln=en
29,https://digitallibrary.un.org/record/280481?ln=en
30,https://digitallibrary.un.org/record/280482?ln=en
31,https://digitallibrary.un.org/record/280483?ln=en
32,https://digitallibrary.un.org/record/280484?ln=en
33,https://digitallibrary.un.org/record/280485?ln=en
34,https://digitallibrary.un.org/record/280486?ln=en
35,https://digitallibrary.un.org/record/280487?ln=en
36,https://digitallibrary.un.org/record/280488?ln=en
37,https://digitallibrary.un.org/record/280489?ln=en
38,https://digitallibrary.un.org/record/280490?ln=en
39,https://digitallibrary.un.org/record/280491?ln=en
40,https://digitallibrary.un.org/record/280493?ln=en
41,https://digitallibrary.un.org/record/280494?ln=en
42,https://digitallibrary.un.org/record/280495?ln=en
43,https://digitallibrary.un.org/record/280496?ln=en
44,https://digitallibrary.un.org/record/280497?ln=en
45,https://digitallibrary.un.org/record/280498?ln=en
46,https://digitallibrary.un.org/record/280499?ln=en
47,https://digitallibrary.un.org/record/280500?ln=en
48,https://digitallibrary.un.org/record/280501?ln=en
49,https://digitallibrary.un.org/record/280502?ln=en
50,https://digitallibrary.un.org/record/280503?ln=en
51,https://digitallibrary.un.org/record/280504?ln=en
52,https://digitallibrary.un.org/record/280505?ln=en
53,https://digitallibrary.un.org/record/280506?ln=en
54,https://digitallibrary.un.org/record/280507?ln=en
55,https://digitallibrary.un.org/record/280508?ln=en
56,https://digitallibrary.un.org/record/280509?ln=en
57,https://digitallibrary.un.org/record/280510?ln=en
58,https://digitallibrary.un.org/record/280511?ln=en
59,https://digitallibrary.un.org/record/280512?ln=en
60,https://digitallibrary.un.org/record/280513?ln=en
61,https://digitallibrary.un.org/record/280514?ln=en
